0:3591 1673 5919 4968 1631 5944 4620 446
1:16045 4179 6359 12244 3839 1538 1890 14476
0:791 2018 701 1400 3007 8800 1948 3885
2:755 709 8721 1398 549 1350 773 132
0:3591 1673 4649 250 4518 9046 1313 5758
1:655 4137 2798 971 2589 814 953 534
0:7149 6723 7492 7498 7436 1508 7500 3292
0:3591 1557 3404 1673 11105 441 13640 16239
1:1937 9133 2461 2215 2164 3445 6979 2078
1:7786 830 740 1115 3091 746 1903 1380
2:3660 2914 2445 135 4780 240 1090 6393
1:2914 2445 888 1456 6393 1041 1395 2768
0:16045 4179 14607 12244 16318 15113 6359 4689
0:2589 971 888 1038 953 2593 954 2878
0:12571 4808 7672 746 483 917 369 2472
0:16045 4179 14607 12244 6359 15113 15815 15358
3:2462 2489 1181 3175 243 4281 3012 2794
1:3591 5977 4620 5919 4968 6416 6572 6063
0:7790 14035 13912 3064 15073 4604 6862 6297
2:14177 9966 10605 9103 12842 11328 13443 3981
1:1009 1090 9392 4689 5633 5630 5620 3319
2:1104 944 1665 1203 1181 9392 1974 2240
4:281 655 2798 814 6971 3638 430 4572
3:13410 14782 15531 767 14276 13863 14715 15184
1:28 14 477 1200 11567 746 380 23
0:1937 1137 2164 2159 1141 4958 5820 1763
2:1712 6416 5977 6572 4620 4968 1700 5919
2:740 2691 1115 830 838 8707 6802 746
0:17 453 2216 3414 5267 226 3808 1213
1:1192 1104 1937 1974 2240 1203 1944 1009
0:8906 42 43 62 1500 1590 107 6850
0:3100 3818 10907 1408 571 6689 2240 11588
3:3981 7545 9103 9966 5034 7922 9164 8160
1:13410 13863 15531 14276 14715 14782 767 14502
3:2240 2221 1213 4069 2235 988 1203 6218
1:917 1395 2445 5690 13194 2914 2715 1747
0:1398 2087 5546 755 1130 12526 549 11236
1:1090 5088 2914 861 546 135 3660 6799
0:12571 13534 11158 11887 2389 12453 12469 2712
2:5633 5630 5624 5631 5620 5634 5617 5626
1:4808 1395 7786 2653 2712 5690 1903 3091
0:1755 914 1152 1759 5820 1767 6314 1903
2:888 1948 701 1919 1041 5413 211 10921
1:921 453 521 5267 1213 1104 1203 2221
2:17 226 2216 477 453 28 1200 380
0:1673 1648 418 11571 47 1557 1631 50
4:13410 13863 14715 15531 14276 15263 15184 13911
0:3125 1557 7049 15 1005 7579 14 1810
0:767 1673 2944 1213 2216 2194 684 4303
0:2240 47 50 9392 1203 1668 1631 666
4:9392 1009 1665 1203 2240 1891 4689 1181
1:7545 3981 755 2489 2462 9103 8721 7170
4:2446 628 6437 807 3045 2087 5456 5039
0:11571 5913 1673 5503 418 7156 8247 16105
0:845 1199 11538 6729 9914 9392 465 5108
5:1673 1538 1537 501 767 3601 2146 4520
0:9133 1937 705 8753 9055 2164 5768 3536
5:14607 12244 16045 4179 6359 15113 8531 10681
1:13912 14035 15073 4604 7436 13247 10907 1508
1:1203 845 1009 1199 2240 1974 1891 837
0:845 1203 1192 1104 1944 1199 2240 1974
0:1665 247 9392 1009 5267 2240 4689 1208
1:14035 13912 16045 15073 7790 13247 10907 4604
0:1903 917 14607 4808 746 1152 1928 1910
0:13912 10907 13247 13442 14035 4604 15073 11588
0:5690 1767 1395 2914 426 1922 2711 10039
1:14607 16045 2691 845 11567 1203 10071 1115
3:3981 615 6347 5034 2350 12571 7763 7545
1:845 2393 2558 15025 4174 6497 13783 11433
0:14559 15082 16341 15461 16146 7316 15209 15195
2:1090 2240 1974 1181 247 5267 1104 921
0:17 453 226 2221 16 2216 5267 3808
0:28 14 477 1200 746 11567 27 2
0:16045 1090 5690 3981 2715 12571 7545 4179
1:11571 12082 418 1673 47 10608 128 5161
3:1557 1673 13410 14715 13863 767 3440 15531
0:701 888 1919 1948 2164 4349 3966 1137
0:3591 446 4620 5919 4968 1673 5977 6063
8:13786 10539 13773 13663 4130 13778 13770 12830
0:3981 2489 2462 9103 7545 7922 9966 8504
0:977 2240 3775 1665 2235 9392 1208 2596
0:5963 830 8410 16045 1203 845 4516 7169
4:7790 1408 571 7192 6297 3818 11588 6689
0:1203 830 4808 1192 3091 843 746 740
0:2715 3699 4080 2480 13194 3016 3236 2472
0:1665 1209 4689 1009 1891 1181 9392 1203
1:14607 17 755 16045 12244 2216 4020 226
1:1919 888 546 5088 5550 1828 2691 1090
0:2985 888 1395 1928 5690 7786 917 16045
0:281 2798 655 2087 283 430 6971 4687
2:11567 14 28 477 1259 746 2 1200
0:135 447 17 2216 2445 120 3660 369
0:1700 1712 1944 6416 5312 5977 6572 4620
0:1137 176 546 2103 1192 7969 2159 1141
1:1987 230 504 5772 378 172 509 1888
0:1903 746 4808 5690 917 3091 7672 7786
4:701 1919 888 1948 3966 1454 2159 4743
1:17 477 453 755 226 1200 14 28
0:655 380 281 2798 5034 814 1681 10663
1:888 3981 7763 9103 7922 8158 5034 9966
0:2462 2489 243 3981 3175 2794 2788 525
0:1090 1891 2235 4689 1208 1209 9392 9133
0:888 1919 1948 2434 211 701 1929 1454
0:12453 11158 14177 12571 10605 13874 11887 3981
1:1538 3839 2728 921 1890 1537 2308 5588
1:1409 1408 568 294 2515 1175 571 790
0:11571 14657 15041 11701 13911 13863 16084 14502
1:453 2216 755 17 5267 226 3808 906
2:28 1400 1200 477 1353 791 14 400
0:1538 6359 9579 5588 1028 16045 3839 4291
0:845 1115 2691 2393 1157 2558 15025 7823
0:1200 28 14 477 27 746 10170 15073
2:906 2355 3981 7135 1778 2546 755 120
1:845 10632 14782 767 13301 16475 3088 6521
